input,output
aaj christmas dinner hai na?,"haan, ghar pe banaya hai."
holi ke liye kya colour lagai?,"pink, my favorite!"
happy anniversary!,thank you! aap bhi khushiyaan manaao.
kya gifts le rahi ho?,chocolates! always a winner.
diwali ka kya banaogi?,gajar ka halwa! classic.
kya special kar rahi ho today?,birthday boy ko surprise de rahi hoon.
kab dussehra hai?,agle hafte! aap ko kya plan hai?
karwa chauth ke liye kya banaya?,kheer! special dish for the occasion.
kya gifts diye tumne?,kuchh handmade items! always a good choice.
kya kar rahi thi?,"ek movie dekh rahi thi, celebration mode mein!"
happy birthday! kya plan hai?,friends ke saath party! gonna celebrate.
kya special hai aaj?,"kuchh bhi nahin yaar, just a normal day."
raksha bandhan kab hai?,"aage hi, abhi to planning hai."
eid ki shopping kiya?,"haan, abhi to market bhar diya hai."
holi ke liye kya prepare kiya?,gulal aur pichkari! ready to play!
aaj kya celebration hai?,my best friend's birthday! gonna go!
diwali mein kya special banaya?,maa ne ladoos banaaye hain!
christmas ka kya plan hai?,church jaana aur family ke saath celebrate karna.
kya pehenogi eid mein?,nayi suit banwai hai! excited.
bhai ka birthday kab hai?,agla month! aap aana toh!
holi mein kya colour lagaoge?,purple! looks good on me.
rakhi banwane gaya?,"haan, bhai ko khushi thi!"
happy new year! kya plan hai?,party mein jaana hai!
kya kar rahi thi?,"bas yaar, ghar pe baith ke relax kar rahi thi."
dussehra kab hai?,"next week, diwali ke pehle hi."
happy birthday! kya wish karenge?,good health and happiness!
kya chal raha hai?,"bhai, i am so stressed, deadline pe aa gaya hai!"
"chill,sab theek ho jaayega. kuchh time nikal kar self-care karna jaruri hai!","haan yaar, tu sahi keh rahi hai. weekend mein kuchh fun karna hai."
aaj toh bahut jyaada gussa aa raha hai!,"yaar, it happens. aise time mein gussa control karna mushkil hota hai, but deep breaths and a break can help."
"tu sahi keh rahi hai,thanks for reminding me.","anytime, yaar. take care of yourself."
kuchh din se thoda sa khaali mehsoos kar rahi hoon.,are you okay? kya chal raha hai? don’t hesitate to talk about it.
"actually,i am just feeling a little down, but i will be fine.","koi baat nahin, hum sab kaise hai? agar kuchh bhi lagta hai, toh tell me, okay?"
is this anxiety or am i just overthinking?,"maybe it’s both, yaar. we all overthink sometimes. just try to focus on the present moment."
"that’s a good tip,thanks.","you’re welcome, and remember to take care of yourself."
"i need to go for therapy,but i am a little scared.","i know it can be tough to start, but trust me, it really helps. think about it as investing in your mental health."
"you’re right,i’ll try to find a therapist.",i’m proud of you for taking this step.
what’s wrong? you look worried?,"honestly, my mental health has been struggling lately, i’m trying to cope."
"i’m here for you if you need to talk,ok?","thank you, i appreciate that."
"feeling kinda overwhelmed,have so much going on.","i understand, i’ve been there too. take it one step at a time, you got this."
"thanks,that makes me feel a little better.","always here to listen, anytime."
"i feel so much pressure to be perfect,always.","it’s okay to not be perfect, it’s okay to make mistakes."
"that’s hard to accept,i know.","it's a journey, we all need to learn to accept ourselves."
"i don’t know what’s wrong with me,but i just feel empty.","sometimes, you know, feeling empty can be a sign of burnout or depression. maybe you should reach out to someone?"
"maybe i should,thanks.","remember, you’re not alone."
i am so scared to go to work today. my anxiety is through the roof.,"deep breaths, you got this. take it slow, and maybe try talking to someone about it."
"thanks,i will try. i feel so lost sometimes.","it’s ok, everyone feels lost sometimes, just don’t forget to ask for help."
aaj toh ekdam khud ko bohot kharab lag raha hai.,"it’s alright to not be okay, don’t feel bad about it. take some time for yourself."
"thank you,i needed to hear that.",you got this. you're stronger than you think.
this pandemic has just been so draining.,it has been for everyone. you’re not alone in feeling this way.
i wish i knew what to do.,"talk to someone about it, maybe a friend or a therapist."
i have been feeling so disconnected from everyone lately.,that's rough. it can be helpful to make plans to reconnect with people and spend time doing things you enjoy.
"thank you for reminding me,i'll try to be more proactive.",that’s the spirit! take care of yourself.
i don’t know if i can handle this stress anymore.,you’re strong. it's ok to take a break and prioritize your well-being.
thank you for believing in me.,"i always do, just remember to take care of yourself."
i can’t stop thinking about my problems.,"it’s a vicious cycle, but try to do some mindful breathing, or try to focus on something you enjoy."
"good advice,thank you!","no problem, you’ll get through it, one step at a time."
i wish i could be more positive.,"you are already positive, just sometime"
aaj kya banaya tumne?,"bas, simple khichdi. bacche ki favourite hai!"
"bhai,mera toh beta bas video games mein duba rehta hai.","haa, mera bhi. ab kya karein? 😔"
school mein kaise raha aaj?,"acha, teacher ne khana diya. 😄"
"arey,kya hua? koi problem hai?","nahi, bas tension hai ki baccha school ka uniform kahan rakha hai!"
kaisa raha test?,"abhi nahi pata, par apna best diya."
aaj kya khel rahe ho?,aaj toh bas drawing kar rahi hoon. 🎨
kaisa laga picnic?,mazza aa gaya! sabne khub masti ki.
kya kar rahe ho?,"bas, online shopping kar rahi hoon. 😅"
school mein kisne best perform kiya?,uski best friend ne. 😔
aaj kitne words learn kiye?,bas aaj toh 5 hi kiye. 😓
"kya karein yaar,ye bachche toh bas khelte hi rehte hai!","haan, humein bhi toh childhood mein aisa hi karna pasand tha!"
"haan,bhookh lagi hai. khaana bana rahi hoon.","acha, main bhi aata hoon. 😋"
"beta,aaj toh school jana hai!","aahh, maa... 5 minutes more please! 😭"
kya baat hai? itna gussa kyon?,"nahi, bas thoda sa jhagda ho gaya dost se. 🙄"
"arey,kya hua? kyon ro raha hai?","kuchh nahin, bas ye ladka itna masti karta hai!"
kaisa laga movie?,mazaa aaya! par ek scene thoda darawna tha. 😱
"bhai,kya khana hai aaj?","kuchh bhi, tum kya bana sakti ho?"
aap kaise hain?,"bas, acha hun, tum batao. 😄"
kya kar rahe ho?,"bas, bacho ka lunch pack kar rahi hoon. 🍱"
bacha aaj school nahi gaya?,"haan, thoda sa beemar hai. 🤕"
ye ladki kitni stubborn hai!,"haan, thodi si! 😜"
kuchh khaana chahiye?,"nahi, abhi nahi. thodi der mein khaungi."
kya chal raha hai?,"bas, sab theek hai. 🙏"
kya hua? kyon itna gussa hai?,"kya karun yaar, ye ladka abhi tak homework nahi kiya! 😠"
aaj kya karna hai?,aaj toh bas ghar mein hi rahege. 😊
bacha ki favourite cartoon kya hai?,chhota bheem! 🦸‍♂️
kab tak khelna hai?,abhi toh bas 10 minutes aur. ⏳
aapne aaj kya sikhaya?,aaj maine alphabets sikhane ki koshish ki. 📚
kya kar rahe ho?,"bas, bacha ko sula rahi hoon. 😴"
aaj kaise the classes?,"acha the, par thoda sa bore ho gaye. 🥱"
kya problem hai?,"koi problem nahi, bas thoda sa pareshan hu. 🤔"
kaise hai bacche?,"bas, khush hain. 😁"
aapne kya sikhaya?,aaj humne numbers sikhe. 🔢
kya kar rahi ho?,"bas, bacho ko help kar rahi hoon homework mein. 📝"
kitna kaam hai aaj?,bahut sa! par manage kar lungi. 👍
bacho ka birthday kab hai?,"next month, december mein. 🎂"
kya soch rahi ho?,"kuchh nahin, bas khali dimaag! 🧠"
kuchh chai pee lo?,"haan, thank you. 😊"
aaj kya pakaaya hai?,aaj toh bas daal chawal hai. 🍚
ye ladka kitna masti karta hai!,"haan, par pyaar se! ❤️"
"arre,tera phone ka camera kitna badhiya hai!","haan yaar, super clear pictures aati hain, isse."
"kya,mere phone mein net slow chal raha hai!","kya, app update kar le na?"
wifi password kya hai?,"bas, password hi type kar de."
koi naya app use kar rahi ho?,"haan yaar, abhi headspace try kar rahi hoon, bahut aaram aata hai."
"aaj to battery jaldi khatam ho gayi,kya?","haan yaar, instagram ka jadu hai."
"phone kharab ho gaya,kya karu?","repair shop pe le ja, ya phir flipkart se order kar le na new one."
"kya,aaj online shopping kar rahi thi?","haan, myntra pe sale chali hui thi, kuchh naya order kar liya."
ab yeh snapchat ka trend kya hai?,"kuchh bhi yaar, khud khud aap yeh sab badal jaata hai."
"ek minute,spotify se music play kar deti hoon.","okay, music is the best!"
tune kya dekha aaj netflix pe?,"kuchh nahi yaar, sirf friends dekh rahi thi."
"meri instagram id forgot ho gayi,kaise find karu?","profile picture pe click kar, forget password option aayega."
mere phone ka screen crack ho gaya hai!,"kya, flipkart se tempered glass order kar le na!"
"laptop chahiye tha,kya tumhara amazon ka account use kar sakti hoon?","haan yaar, par wishlist mein add kar, order main karungi."
aaj to google kharab chal raha hai kya?,"haan yaar, kuchh time ke liye down ho gaya tha."
yeh whatsapp pe kya ho raha hai?,"aaj facebook pe new update aaya hai, sab dekh rahe hain."
koi youtube pe accha comedy video dikhao!,"dekh, ashish chanchlani ka new video aaya hai."
"mera zoom call miss ho gaya,kya?","haan yaar, late ho gaya tha."
"kya,telegram pe koi secret group join kiya?","haan yaar, abhi aaj hi join kiya hai."
yeh twitter pe log kya badmaash ho rahe hain?,"kya karu, aaj koi trend chal raha hai."
"aaj uber ka ride kharab raha,kya?","kya yaar, kabhi kabhi hota hai, ola se try kar."
"koi accha podcast suggest karo,yaar?","dekho, the daily is really good."
tu kya game khel rahi ho?,"bas candy crush mein stuck ho gayi hoon, aap khelne do."
tu tiktok pe videos banati ho?,"nahi yaar, instagram pe reels banati hoon, woh hi kaafi hai."
"mera laptop hang ho gaya,kya karu?","try ctrl + alt + delete, maybe that will help."
"kya,tumne pubg mobile khelna chhod diya?","haan yaar, call of duty mein aagayi hoon."
tune swiggy se kya order kiya?,"kya, aaj zomato se pizza order kiya."
mere amazon prime subscription ka expiry date kya hai?,"dekho, account mein my orders mein jaake check kar lo."
"kya,facebook par live video dekh rahi thi?","haan yaar, instagram pe bhi dekhti hoon."
mujhe aaj quora pe bahut saare interesting answers mile.,"haan yaar, quora best hai for finding answers."
yeh linkedin ka notification kya hai?,"haan, koi job profile connect karna chahiye."
"phone charger ka wire kharab ho gaya,kya karu?","dekho, flipkart pe mil jaayega new one."
mera google maps ka location track kar sakte ho?,"haan yaar, par please location sharing enable ka"
kya tumne aaj news dekhi?,"haan, wo naya restaurant khul raha hai, kya jana hai?"
"abey,woh new intern, kabhi kaam karta hai?","aise hi hai, sabke saath timepass karta rehta hai!"
"tumne suna,priya ka engagement break up ho gaya?","haan yaar, uske boyfriend ka behaviour aise tha!"
"kya,priya ka boyfriend badmaash nikla?","abey, family hi oppose kar rahi thi, woh kuchh kar hi nahin paya!"
"arre,tumne kya pehna hai?","aaj to party hai, thoda special dress up kiya hai!"
"kya,tumne woh new song suna?","haan, bohot catchy hai, mujhe bohot pasand aaya!"
"sun,simran ki shaadi ka kya plan hai?","haan yaar, uske parents aisa kyun kar rahe hain?"
aaj to party mein aisa mahaul tha!,"haan yaar, bohot fun tha, sabkuchh theek tha?"
"kya,raj ki car kharab ho gayi?","haan, usne aaj khud hi repair ki, woh bohot clever hai!"
"abey,tumne kya khaana banaya?","kuchh simple sa, thoda daal chawal!"
tumhare new boyfriend ka kya naam hai?,"abey, woh to mere dost ka dost hai, bohot decent ladka hai!"
"kya,tumne aaj kya shopping kiya?","kuchh nahin, sirf grocery!"
"kya,tumhare boss ne kaam de diya?","haan yaar, kaam to bohot hai, par karna padega!"
"arre,aaj weather bohot garam hai?","haan yaar, bahar nikalna bhi mushkil ho raha hai!"
tumne aaj kya kaam kiya?,"bas yaar, thoda ghar ka kaam kar liya!"
"kya,tumne movie dekhi?","haan, woh new comedy movie, bohot maza aaya!"
tumhare birthday pe kya gift chahiye?,"kya pata, kuchh special hi!"
"kya,tumne yeh naya phone kharida hai?","haan, old phone to kharab ho gaya tha!"
tumhare parents ka kya bolna hai?,"wo aise hi hain, kabhi happy, kabhi sad!"
"kya,tumne uske saath dinner kiya?","haan, woh aisa kaisa tha, pata nahin!"
"abey,tumhara boyfriend aaj kaha hai?","woh kaam pe gaya hai, bahar gaya hai!"
"arre,tumhari health thik hai na?","haan, thoda headache hai, par chalega!"
tumhara kya plan hai aaj?,"bas yaar, thoda aaram karna hai!"
"kya,tumne yeh new dress kharida hai?","haan yaar, thoda style change karna tha!"
tumhare family ki kya plan hai aaj?,"kya pata, shayad kisi ka ghar jaayein!"
"abey,tumhara mobile charge hai?","haan, abhi thoda bach gaya hai!"
"kya,tumne yeh new lipstick lagaaya hai?","haan, aaj kuchh special try kar rahi thi!"
tumhare parents ko kya laga yeh dress?,"wo kuchh nahin bole, par unko accha laga!"
"kya,tumne woh new book padi hai?","haan, bohot interesting hai, mujhe bahut pasand aayi!"
tumhare friend ka kya bolna hai yeh movie ke baare mein?,usne to bahut bore kar diya!
"kya,tumne aaj kya khana banaya?","kuchh special nahin, bas roti aur sabzi!"
tumhare dost ki shaadi ka kya plan hai?,woh to uske parents decide karenge!
"kya,tumne woh new song suna?","haan, bohot mast hai, mujhe bohot pasand aaya!"
tumhare neighbour ka kya bolna hai yeh dress pe?,"wo to sabkuchh bolte rehte hain, unhe kya?"
"abey,tumne woh new cafe try kiya?","haan, bohot aacha tha, mujh"
"aaj bahut saare sales hain,na?","haan yaar, par mujhe kharidon ki need nahi hai!"
"kya yaar,abhi se christmas shopping shuru kar di?","nahi, birthday gifts kharid rahi hoon."
"arey,yeh saree kya hai?","haan, yaar, kal party ke liye."
koi discount nahin mila?,"haan yaar, sale pe hi le rahi hoon na!"
kaise lag rahi hai yeh jeans?,kya baat hai! mujhe toh bahut pasand aayi.
kitni shopping ki?,"bas, kuchh basics aur kuchh sale mein."
naya dress le liya?,"haan yaar, birthday pe pehenungi."
online shopping karna bahut difficult hai na?,"haan yaar, fitting ka tension rahata hai."
kuchh acha dress mila?,"haan yaar, sale mein bahut cheap mil gaya."
zara kya pasand aaya aaj?,"haan yaar, kuchh tops dekh rahi thi."
"itni shopping kar rahi ho,kahaan rakhti ho?","yaar, meri wardrobe bahut bhari hai!"
yeh handbag kahaan se liya?,"yaar, sale mein online milega, check karlo."
kuchh festive clothes dekh rahi ho?,"haan yaar, diwali ke liye."
kya kya kharidna hai aaj?,"bas, grocery aur kuchh basic things."
saare malls mein sale chal rahi hain na?,"haan yaar, shopping ka mood ban gaya hai."
new year pe kya shopping karegi?,"yaar, abhi se planing nahi kar rahi hoon!"
"kya yaar,isme discount to mila nahin?","yaar, bahut cheap aaya, yeh toh."
online shopping kaafi aasan hai na?,"haan yaar, bas ek click aur ho gaya!"
sale kab tak chali?,"yaar, abhi bhi chali hain kuchh."
new shoes le liye?,"haan yaar, bahut saare discounts mil rahe the."
"yaar,kya saari shopping ki?","kuchh nahin yaar, bas ek jacket liya."
kya gift le rahi ho?,"yaar, abhi decide nahi kiya hai."
kuchh fancy jewellery dekha?,"haan yaar, ek chain dekh rahi thi."
yeh lipstick kahaan se liya?,"yaar, online discount mil raha tha."
kya aaj shopping karogi?,"haan yaar, kuchh basic needs hain."
kuchh winter clothes le rahi ho?,"haan yaar, winter aa gaya hai."
kya kuchh special purchase kiya?,"haan yaar, ek bag."
itna saara stuff kaise manage karti ho?,"yaar, aisa hi hota hai na!"
new shoes ke liye kya dekh rahi ho?,"yaar, kuchh comfortable aur trendy."
zara shopping karne chalo?,"yaar, mujhe time nahi hai abhi."
kuchh new cosmetics liye?,"haan yaar, lipstick aur mascara."
sale mein kaise deals mile?,"yaar, thodi bargain karni padti hai."
shopping list bana li hai?,"yaar, aisa to nahin, bas kuchh basic needs."
"kya yaar,shopping mein kya alag dekha aaj?","yaar, bahut kuchh sale mein mil raha hai."
online shopping mein aisa kya special hai?,"yaar, variety toh bahut hoti hai!"
shopping karne jaana hai?,"haan yaar, ek bag dekhni hai."
kya kuchh purchase kiya?,"yaar, ek dress aur ek lipstick."
yeh shoes kya baat hai?,"yaar, online discount pe liye hain."
"kya yaar,itna saara stuff aaj!","yaar, thoda shopping ki thi aaj."
shopping ka plan hai?,"haan yaar, kal chali jaaungi."
kuchh new things buy ki?,"haan yaar, ek dress and a handbag."
saari shopping kar li?,"yaar, abhi to bas half ki hai!"
"hey,insta pe kya chal raha hai?","kuchh nahi yaar, bas reels dekh rahi hoon."
"kya,abhi bhi ye insta pe time waste kar rahi ho?","haan yaar, khali time mein toh kuchh karna chahiye na!"
aaj ka insta story toh upload karna hi padega na?,"haa yaar, varna kya log sochenge!"
tere post pe itne likes kaise aate hain?,"bas, kuchh random content daalti hoon, shayad logon ko pasand aata hai!"
aaj kuchh interesting post dal?,"nahi yaar, aaj toh bas phone chala rahi hoon."
ye tiktok ka trend kya hai?,"koi samajh nahi aata yaar, bas sab kar rahe hain toh kar rahe hain!"
tere twitter handle pe kitne followers hain?,"haan yaar, bas thode se, abhi zyada nahi hain!"
"koi interesting post toh share kar,main dekhti hoon!","theek hai, bas thoda wait karna."
ye twitter pe sab kya baat kar rahe hain?,"koi pata nahi yaar, bas trending topics dekh rahi hoon."
tune aaj kya post kiya facebook pe?,"koi khaas nahi, bas lunch ka picture share kiya tha!"
ye instagram pe sab kaise itne perfect lagte hain?,bas filter ka jaadu hai yaar!
facebook pe sab ki shaadi ka photo daal rahe hain!,"haan yaar, shayad logon ko share karna pasand hai!"
tere linkedin pe kya career goals hain?,"abhi toh bas learn kar rahi hoon, dekhti hoon aage kya hota hai!"
instagram story mein aaj kya dalugi?,"kuchh romantic dal, shayad likes aaye!"
snapchat pe kaun kaun connect hai?,bas kuchh dost aur family hi hain yaar!
"kya,tune apna facebook account delete kar diya?","haan yaar, thoda bore ho gayi thi!"
instagram pe itna time waste karna achcha hai kya?,bas entertainment ke liye yaar!
facebook pe kitne groups mein ho?,"haan yaar, kuchh groups mein hoon, family aur dost walon mein!"
snapchat pe sab kya kya filters laga rahe hain?,"koi idea nahi yaar, bas khud ka face banane ke liye!"
tere youtube channel pe kitne subscribers hain?,"abhi toh bas start kiya hai, dekhti hoon kya hota hai!"
koi interesting video to banai?,"nahi yaar, aaj toh bas reels dekh rahi hoon!"
twitter pe itne trolls kyon hain?,"koi pata nahi yaar, bas ignore karna hi padta hai!"
"kya,tu tiktok pe dance videos banati hai?","nahi yaar, bas dekhti hoon, banaane ka man nahi karta!"
instagram stories ke liye kaun sa filter best hai?,"koi pata nahi yaar, aajkal sabhi theek lagte hain!"
ye instagram pe hashtags kya karte hain?,logon ko content find karne mein aasani hoti hai yaar!
facebook pe kya ho raha hai aajkal?,"koi khaas nahi, bas old friends ke posts dekh rahi hoon!"
snapchat pe stories kitni der reh ti hain?,"24 ghante yaar, fir delete ho jaati hain!"
koi interesting youtube channel to bata?,"haan yaar, ek music channel hai, bahut acha hai!"
twitter pe itne saare political discussions kyon hote hain?,"haan yaar, bas log apne views share karte hain!"
tiktok pe koi viral dance video dekha?,"haan yaar, ek bahut funny tha!"
ye instagram reels ka trend kya hai?,"bas entertainment ke liye yaar, sab kar rahe hain toh!"
facebook pe kabhi old posts dekhti ho?,"haan yaar, kabhi kabhi dekhti hoon, yaadon mein kho jaati hoon!"
snapchat pe koi funny filter dekha?,"haan yaar, aaj ek funny rabbit wala dekha!"
tere youtube channel pe kya content hai?,"bas thoda personal stuff, travel, cooking etc!"
"twitter pe kya hota hai,samajh nahi aata?","bas news, discussions aur trends y"
aaj ka shopping kaise raha?,"abey, bohot tiring! my feet are killing me!"
kya khareedi?,"kuchh nahi, just window shopping! but saw this cute dress, gotta go back!"
"haan,mujhe woh saree bohot pasand aayi?","bas ek baat ka dhyan rakho, kahi discount nahi mil raha?"
shopping list ke liye kya banaya?,"aree, khana bahan! aa ghar khana hai!"
online shopping kar rahi ho kya?,"haan yaar, is baar sale mein bohot acha deal mil raha hai!"
shopping mall mein kya chahiye?,"bas, time pass aur ek cup of chai."
sabse favourite shop kya hai?,"kya, wo toh jaise kaise batao! so many favourites!"
aapne yeh dress kaha se khareeda?,"ooh, this one? i got this online, super steal!"
shopping karne se kya milta hai?,"khushiyan, excitement! plus, new things!"
kya kar rahi ho?,"kuchh nahi, just browsing for some new shoes!"
kya kya khareeda?,"bas, kuchh grocery and some books for the kid!"
online shopping kaunsi app use karti ho?,"aare, sabhi! depends on the deal!"
sale kab tak chalta hai?,"abey, pata nahi! better check online!"
shopping karne se kya tension ghatti hai?,"abey, it's not the shopping, it's the retail therapy!"
"aaj ka mood kya hai,shopping ka?","aaj nahi yaar, mood hai, rest ka!"
kuchh naya khareeda?,"haan, ek naya phone! aaj hi online order kiya!"
"haan,aaj kuchh khareedna tha","koi baat nahi, next time!"
saari shopping ho gayi?,"nahi, abhi to ek store aur jaana hai!"
weekend plans kya hai?,"abey, shopping and chilling! basic!"
kuchh discounted deal mil gaya?,"haan, this one! gotta check it out!"
shopping ke liye kitna budget hai?,"abey, just a little bit! gotta be smart!"
bazar ki shopping kaise thi?,"aaise hi, usual! vegetables, fruits, you know!"
online shopping ka risk kya hai?,"abey, size wrong ho gaya toh! but happens!"
shopping mall ke sabse badhiya shops kaun se hai?,"abey, it all depends on what you're looking for!"
aaj shopping karne jaa rahi ho?,"nahi yaar, aaj ka mood nahi hai! i'll go tomorrow!"
saare shops ghoom liye?,"abey, abhi to aur bohot shops baaki hai!"
yeh dress kaha se khareedi?,"aree, ye toh gift hai! my friend gifted it!"
shopping karne ka man ho raha hai?,"haan yaar, lekin khali pocket!"
aaj khareedi kuchh?,"haan yaar, ek cute bag! it was on sale!"
kuchh naya khareedne ka plan hai?,"nahi yaar, aaj to bas aaram se!"
kya shopping list hai?,"abey, bas daily essentials! no fancy stuff!"
shopping karne ke liye kaun si jagah best hai?,"abey, it all depends on your budget and what you're looking for!"
aaj online shopping ki?,"nahi yaar, aaj mood hai, bazar jaane ka!"
sale ka pata chala?,"abey, nahi yaar! but i'm on the lookout!"
kya kya kharid rahi ho?,"aree, kuchh nahi! just browsing! but this dress is cute!"
kya khareedna hai?,"kuchh nahi yaar, just looking! maybe i'll find something!"
kahi sale chal raha hai?,"abey, pata nahi! gotta check online!"
kya naya khareedna hai?,"haan, but i'm waiting for the perfect sale!"
shopping ke baare mein kya sochti ho?,"abey, it's fun! but gotta be careful with the budget!"
shopping karna kaisa laga?,aaise hi
"arre,tumhari diwali kaise gai?","bhut maza aaya! sabse saath laddu khaye, fireworks dekhe."
aapna culture kitna amazing hai na?,"bilkul, aur hum logon ki traditions kitni unique hain!"
"mom,yeh saree kahaan se li?",yeh toh naniji ne diya tha! bahut purani hai!
yeh song toh bada familiar lag raha hai,"haan, yeh toh typical punjabi folk song hai!"
mere ghar par holi bahut grand celebrate hota hai,"ooh, aur kya kya karte ho?"
chai peelo!,"thank you, aur aapke ghar ka tea time kitna refreshing hota hai!"
diwali mein aap kya banate ho?,"mom ki special barfi aur gulab jamun, woh toh must-have hain!"
aur aap ki holi kaise celebrate karte ho?,hum toh colours me doob jaate hain!
kaise ho?,"bas, normal! aaj mom ke saath ghar pe haldi ka tilak karaya!"
aapne itna sundar lehenga kahaan se liya?,mummy ki shaadi ka tha yeh! it's an heirloom!
aur kya karna hai aaj?,"kuchh special toh nahi, bas mom ke saath diwali ki safai karni hai!"
kya ho raha hai aaj?,hum log karvachauth ka fast kar rahe hain!
tumhari maa kitni talented hain!,"haan, unhe bahut acche chai banane aate hain! family recipe hai!"
"haan yaar,apni maa ki khana toh aur kisi ka nahi!",totally agree! pure love jaisa lagta hai!
aur kya kya ho raha hai tumhaare ghar?,aaj bhai dooj hai! bahut maza aaya bhaai ke saath!
aapne aapna heritage kitna acche se preserve kiya hai!,"haan, aapke heritage mein bhi bahut kuchh interesting hai!"
kabhi aapke ghar par khaana khaane aayenge!,"bilkul, mom ki cooking best hai!"
aur aap aapni maa ke saath kya kar rahe ho?,kuchh recipe learn kar rahi hoon! heritage knowledge share karna chahti hoon!
aapke ghar pe aaj kya banaya gaya?,"maa ne typical rajasthani dish, dal baati churma banaya!"
aur kya kya karte ho aap log?,"hum diwali mein firecrackers nahi jalate, par rangoli toh banate hain!"
aapke family function mein kya kya hota hai?,"bhut fun hota hai, dhol bajaate hain, sab saath dance karte hain!"
aap ka childhood kaisa tha?,"bohot mast, village mein badiya childhood spent kiya! pure heritage feeling aati hai!"
aap kya kar rahe ho?,"ek aur festival aane wala hai, raksha bandhan! bhai ko rakhri bandhne ja rahi hoon!"
aap ki ghar ki decoration bahut pretty hai!,"haan, mom ne diwali ke liye saari decoration khud ki!"
aur kya kya khane ko hai aaj?,maa ne special sweets banaye hain! pure heritage vibe aati hai!
aap aapni maa se kya learn karte ho?,"unki cooking se leke, traditions, sab kuchh! heritage ka value aata hai!"
kaise ho?,"theek hoon, just came back from a temple visit! it's part of our tradition!"
kya karna hai weekend pe?,mom ke saath diwali shopping karne ja rahi hoon!
aur aap ke aapne culture kaise influence karta hai?,"bhut influence karta hai, khane se leke rituals, everything!"
aapke ghar pe diwali kaisa celebrate hota hai?,"bhut grand! sab family members aate hain, dance parties hoti hain!"
kaise ho aaj?,aaj bhaai ne mera haldi ka tilak kiya! he's my protector in this family!
aapke culture mein aur kya interesting hai?,"bhut kuchh, like festivals, dance forms, music, everything is so beautiful!"
aur aap aapna heritage kaise express karte ho?,"through food, clothes, art, and music! it's al"
"arre yaar,traffic toh aaj bhi zabardast hai!","haan yaar, pollution bhi bohot zyada hai. lagta hai kya kar rahe hain yeh log?"
"bas,kal se kuchh recycle karna shuru karne wali hoon!","acha? cool, mujhe bhi karna chahiye. kitna garbage waste hota hai apne ghar se."
kya tumne woh documentary dekhi plastic pollution pe?,"haan yaar, bahut shocking thi. ab to main cloth bags hi use karti hoon."
"yaar,itne trees kaat rahe hain, lagta hai kuchh karne ki zaroorat hai.","bilkul yaar, pehle hum apne level se hi start kar sakte hain. ek plant laga sakte hain na?"
"rekha,kya tum eco-friendly products use karti ho?","haan yaar, try kar rahi hoon. shampoo aur soap toh definitely organic hi leti hoon."
aaj bahut garmi hai na?,"haan yaar, climate change ka asar toh sab par dikh raha hai."
"acha,kya tumne solar panels lagaaye hain ghar pe?","nahi yaar, abhi toh nahi. but definitely consider kar rahi hoon."
pollution ki wajah se bahut beemaariyan ho rahi hain,"haan yaar, doctors bhi bol rahe hain ki environment ka impact bahut bada hai."
tumne kisi ngo ke saath volunteer kaam kiya hai kabhi?,"nahi yaar, but i definitely want to do something to help the environment."
kya tum compost karti ho?,"haan yaar, kuchh toh karti hoon. but still need to do more."
"aaj phir se bahut zyada barish hai,kya?","haan yaar, monsoon ka season toh aaya hai, but itne zyada floods bhi aa rahe hain."
"acha,tum kya karti ho paper waste se?","recycle karti hoon yaar, aur kuchh important documents print karti hoon."
kya tumne kabhi eco-friendly diyas diye hain?,"haan yaar, last diwali pe use kiye the. kafi cute the."
aaj toh pollution ke wajah se saans lena mushkil ho raha hai,"haan yaar, mujhe bhi bohot problem hoti hai, khuli khidki bhi nahi rakhi jaati."
"yaar,kisi wildlife sanctuary jaane ka plan hai?","haan yaar, bahut dino se plan kar rahi hoon. nature se connect hona chahiye."
kya tumne sustainable fashion brand ka kapda khareeda hai kabhi?,"nahi yaar, but i definitely want to try it. bohot sasta nahi hota na."
"yaar,kisi forest ka safar karne ka man hai!","haan yaar, ek adventure toh banana chahiye."
"acha,kya tumne ev car le li hai?","nahi yaar, abhi toh nahi. but definitely thinking about it."
tumne kaun sa book padha hai environment related?,"yaar, silent spring bahut accha tha. you should read it."
pollution ki wajah se kitna kaan kharab ho raha hai,"haan yaar, doctors ke paas jaane ke baad pata chalta hai ki aise issues hote hain."
kya tumne apne kitchen garden mein kuchh herbs lagaaye hain?,"haan yaar, kuchh toh lagaaye hain. but abhi bohot badi jagah nahi hai."
"yaar,kitna plastic use hota hai grocery stores mein","haan yaar, use karne se kaafi problems aati hain."
kya tumne apne home decor mein eco-friendly materials use kiye hain?,"nahi yaar, abhi nahi, but i'm planning to. bahut stylish options mil rahi hain."
tum kya karti ho plastic bottles se?,"yaar, recycle karti hoon aur kuchh mein plants laga deti hoon."
kya tumne water conservation methods apnaye hain?,"haan yaar, rainwater harvesting karti hoon aur jaldi se nahaati hoon."
"yaar,aaj toh phir se pollution ki wajah se din badla hua dikh raha hai","haan yaar, par aisi baat nah"
"aaj diwali hai,kya plans hai?","kuchh nahi yaar, ghar par hi mithai khane ka plan hai."
